,base,quote,exchange,base_t,quote_t,exchange_t,BUY,SELL,id,s_time,s_time_book,bid,bid_qty,ask,ask_qty,bid_t,bid_qty_t,ask_t,ask_qty_t
37,SOL,USDT,Binance,,,,212.1796112060547,211.7804412841797,19,2021-12-03 23:59:54.804,2021-12-03 23:59:56.897,211.81000000,5.00000000,211.85000000,1.78000000,0.0,0.0,0.0,0.0
38,SOL,USDT,FTX,,,,210.85893949999996,210.5910695,20,2021-12-04 00:07:15.375,2021-12-04 00:07:17.042,210.935,23.8,211.0225,4.73,0.0,0.0,0.0,0.0
39,SOL,USDT,Binance,,,,211.2588653564453,210.88116455078125,20,2021-12-04 00:07:15.375,2021-12-04 00:07:17.042,211.09000000,23.54000000,211.10000000,0.03000000,0.0,0.0,0.0,0.0
40,SOL,USDT,FTX,,,,211.081573,210.78845099999998,21,2021-12-04 00:08:04.287,2021-12-04 00:08:06.433,211.17,3.8,211.3,3.8,0.0,0.0,0.0,0.0
41,SOL,USDT,Binance,,,,211.4690399169922,211.12095642089844,21,2021-12-04 00:08:04.287,2021-12-04 00:08:06.433,211.27000000,5.72000000,211.32000000,4.00000000,0.0,0.0,0.0,0.0
42,SOL,USDT,FTX,,,,211.1140925,210.758469,22,2021-12-04 00:13:23.378,2021-12-04 00:13:25.266,211.2225,0.79,211.305,3.8,0.0,0.0,0.0,0.0
43,SOL,USDT,Binance,,,,211.4990692138672,211.12095642089844,22,2021-12-04 00:13:23.378,2021-12-04 00:13:25.266,211.30000000,0.72000000,211.35000000,5.46000000,0.0,0.0,0.0,0.0
44,SOL,USDT,FTX,,,,212.302305,212.0451965,23,2021-12-04 00:20:13.034,2021-12-04 00:20:15.766,212.2925,17.95,212.4275,3.8,0.0,0.0,0.0,0.0
45,SOL,USDT,Binance,,,,212.6699981689453,212.32000732421875,23,2021-12-04 00:20:13.034,2021-12-04 00:20:15.766,212.33000000,40.22000000,212.36000000,1.00000000,0.0,0.0,0.0,0.0
46,SOL,USDT,Binance,,,,212.27969360351562,211.92031860351562,24,2021-12-04 00:22:15.974,2021-12-04 00:22:17.844,211.94000000,5.00000000,211.95000000,1.65000000,0.0,0.0,0.0,0.0
47,SOL,USDT,FTX,,,,212.6199955,212.3300255,24,2021-12-04 00:22:15.974,2021-12-04 00:22:17.844,211.865,3.8,211.9325,8.32,0.0,0.0,0.0,0.0
48,SOL,USDT,Binance,,,,208.91700744628906,208.56300354003906,25,2021-12-04 00:29:12.970,2021-12-04 00:29:14.911,208.57000000,5.85000000,208.66000000,11.20000000,0.0,0.0,0.0,0.0
49,SOL,USDT,FTX,,,,209.270487,208.9870325,25,2021-12-04 00:29:12.970,2021-12-04 00:29:14.911,208.5975,3.8,208.6275,0.07,0.0,0.0,0.0,0.0
50,SOL,USDT,FTX,,,,208.7726885,208.45485200000002,26,2021-12-04 00:29:26.431,2021-12-04 00:29:28.059,209.0025,8.32,209.175,15.54,0.0,0.0,0.0,0.0
51,SOL,USDT,Binance,,,,209.2672882080078,208.92271423339844,26,2021-12-04 00:29:26.431,2021-12-04 00:29:28.059,209.10000000,1.00000000,209.12000000,6.72000000,0.0,0.0,0.0,0.0
52,SOL,USDT,Kucoin,,,,208.1909942626953,207.73504638671875,27,2021-12-04 00:31:15.904,2021-12-04 00:31:18.147,207.845,0.019,207.908,4.84,0.0,0.0,0.0,0.0
53,SOL,USDT,FTX,,,,208.57506999999998,208.2824555,27,2021-12-04 00:31:15.904,2021-12-04 00:31:18.147,207.88,0.04,208.0725,3.8,0.0,0.0,0.0,0.0
54,SOL,USDT,FTX,,,,208.655118,208.40238349999998,28,2021-12-04 00:32:17.360,2021-12-04 00:32:19.486,208.9225,8.4,208.9675,11.45,0.0,0.0,0.0,0.0
55,SOL,USDT,Binance,,,,209.08714294433594,208.6729278564453,28,2021-12-04 00:32:17.360,2021-12-04 00:32:19.486,208.83000000,3.23000000,208.84000000,6.45000000,0.0,0.0,0.0,0.0
56,SOL,USDT,Kucoin,,,,208.50930786132812,208.01678466796875,29,2021-12-04 00:32:58.246,2021-12-04 00:33:00.158,208.254,2,208.387,4.84,0.0,0.0,0.0,0.0
57,SOL,USDT,FTX,,,,208.9577995,208.60726049999997,29,2021-12-04 00:32:58.246,2021-12-04 00:33:00.158,208.385,20.0,208.505,3.8,0.0,0.0,0.0,0.0
58,SOL,USDT,Binance,,,,206.28489685058594,205.84518432617188,30,2021-12-04 00:40:04.963,2021-12-04 00:40:07.307,205.97000000,1.96000000,205.99000000,7.18000000,0.0,0.0,0.0,0.0
59,SOL,USDT,FTX,,,,207.279293,206.9282685,30,2021-12-04 00:40:04.963,2021-12-04 00:40:07.307,206.0,1.3,206.16,20.8,0.0,0.0,0.0,0.0
